what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340379376901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340379378456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340379393344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340379508937
activated,editor,org.scala-ide.sdt.core,2.0.1.v-2_09-201204232213-dae5cd4,"scala.tools.eclipse.ScalaSourceFileEditor",1340379520941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340379554491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340379565352
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340379579662
activated,editor,org.scala-ide.sdt.core,2.0.1.v-2_09-201204232213-dae5cd4,"scala.tools.eclipse.ScalaSourceFileEditor",1340379598765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340379601728
error,log,,,"Compiler crash while building structure for scala/Predef.scala",1340379603605
error,log,,,"Incorrectly logged ControlThrowable: FreshRunReq(null)",1340379603611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340379607980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340379614192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340379618565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340379669701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340379672958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340379684182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340379688750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340386572764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340386585785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340386587688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340386588768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340386591490
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340386593695
activated,editor,org.scala-ide.sdt.core,2.0.1.v-2_09-201204232213-dae5cd4,"scala.tools.eclipse.ScalaSourceFileEditor",1340386598544
activated,editor,org.scala-ide.sdt.core,2.0.1.v-2_09-201204232213-dae5cd4,"scala.tools.eclipse.ScalaSourceFileEditor",1340386610585
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340386612539
activated,editor,org.scala-ide.sdt.core,2.0.1.v-2_09-201204232213-dae5cd4,"scala.tools.eclipse.ScalaSourceFileEditor",1340386615451
activated,editor,org.scala-ide.sdt.core,2.0.1.v-2_09-201204232213-dae5cd4,"scala.tools.eclipse.ScalaSourceFileEditor",1340386643041
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340386681478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340386691486
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1340386695702
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1340386695724
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1340386695904
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1340386695967
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1340386696019
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1340386696024
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1340386696027
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1340386696121
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1340386696125
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1340386696158
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1340386696298
